product_name,product_url,product_seller,product_seller_url,product_brand,product_brand_url,product_price,product_price_url,product_savings
"I KALL Z1 Smartphone (4GB, 32GB, 4G Volte, Dual Sim) (Dark Blue)",https://www.amazon.in/KALL-Smartphone-Volte-Dark-Blue/dp/B09GXNC45J/ref=sr_1_52?keywords=smartphone&qid=1637600004&sr=8-52,Fabimpex,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A3AYYKSFE86IJQ&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the IKALL Store,https://www.amazon.in/stores/IKall/page/9642B09A-B892-4DF6-85FD-C50FCFD7AFFF?ref_=ast_bln,"5,399",https://www.amazon.in/KALL-Smartphone-Volte-Dark-Blue/dp/B09GXNC45J/ref=sr_1_52?keywords=smartphone&qid=1637600004&sr=8-52,"Save ₹1,100 (17%)"
"I KALL K380 Smartphone (4GB, 32GB) (Purple)",https://www.amazon.in/KALL-K380-Smartphone-32GB-Purple/dp/B09KVCW318/ref=sr_1_53?keywords=smartphone&qid=1637600004&sr=8-53,,,Visit the IKALL Store,https://www.amazon.in/stores/IKall/page/9642B09A-B892-4DF6-85FD-C50FCFD7AFFF?ref_=ast_bln,"5,999",https://www.amazon.in/KALL-K380-Smartphone-32GB-Purple/dp/B09KVCW318/ref=sr_1_53?keywords=smartphone&qid=1637600004&sr=8-53,"Save ₹2,000 (25%)"
"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage)",https://www.amazon.in/Redmi-9A-Sport-Carbon-Storage/dp/B09GFM8CGS/ref=sr_1_54?keywords=smartphone&qid=1637600004&sr=8-54,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: Redmi,https://www.amazon.in/Redmi/b/ref=bl_dp_s_web_20930485031?ie=UTF8&node=20930485031&field-lbr_brands_browse-bin=Redmi,"7,299",https://www.amazon.in/Redmi-9A-Sport-Carbon-Storage/dp/B09GFM8CGS/ref=sr_1_54?keywords=smartphone&qid=1637600004&sr=8-54,"Save ₹1,200 (14%)"
"Samsung Galaxy F12 (Sea Green, 4GB RAM, 64GB Storage)",https://www.amazon.in/Samsung-Galaxy-F12-Green-Storage/dp/B09J2T6FKW/ref=sr_1_55?keywords=smartphone&qid=1637600004&sr=8-55,Teknolgic,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A3GOOA06IMHU0Q&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: Generic,https://www.amazon.in/Generic/b/ref=bl_dp_s_web_6992116031?ie=UTF8&node=6992116031&field-lbr_brands_browse-bin=Generic,"11,340",https://www.amazon.in/Samsung-Galaxy-F12-Green-Storage/dp/B09J2T6FKW/ref=sr_1_55?keywords=smartphone&qid=1637600004&sr=8-55,"Save ₹1,659 (13%)"
"LAVA Z61 Pro (Midnight Blue, 2GB RAM, 16GB Storage)",https://www.amazon.in/LAVA-Z61-Pro-Midnight-Storage/dp/B08D477TGR/ref=sr_1_56?keywords=smartphone&qid=1637600004&sr=8-56,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Lava Store,https://www.amazon.in/stores/Lava/page/E35EAD78-2F48-433E-912B-99160DCC7F58?ref_=ast_bln,"5,399",https://www.amazon.in/LAVA-Z61-Pro-Midnight-Storage/dp/B08D477TGR/ref=sr_1_56?keywords=smartphone&qid=1637600004&sr=8-56,"Save ₹1,100 (17%)"
"OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Fantasy-Storage-Additional-Exchange-Offers/dp/B08444XVNP/ref=sr_1_57?keywords=smartphone&qid=1637600004&sr=8-57,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Oppo Store,https://www.amazon.in/stores/OPPOBRANDSTORE/page/DA7C0308-4E33-4EC0-8B95-AB851D49CB76?ref_=ast_bln,"11,490",https://www.amazon.in/Fantasy-Storage-Additional-Exchange-Offers/dp/B08444XVNP/ref=sr_1_57?keywords=smartphone&qid=1637600004&sr=8-57,"Save ₹1,500 (12%)"
"Tecno Spark 7T(Nebula Orange, 4GB RAM, 64GB Storage) 6000 mAh Battery| 48 MP AI Dual Rear Camera",https://www.amazon.in/Tecno-Nebula-Orange-Storage-Battery/dp/B096LV43SX/ref=sr_1_58?keywords=smartphone&qid=1637600004&sr=8-58,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Tecno Store,https://www.amazon.in/stores/TECNOMobileIndia/page/8EA883B3-BC24-4BDB-8FC5-3E18AE3123AA?ref_=ast_bln,"8,599",https://www.amazon.in/Tecno-Nebula-Orange-Storage-Battery/dp/B096LV43SX/ref=sr_1_58?keywords=smartphone&qid=1637600004&sr=8-58,"Save ₹2,400 (22%)"
"Vivo Y1s (Olive Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Vivo-Y1s-3GB-RAM-32GB/dp/B08ZMTHXZ9/ref=sr_1_59?keywords=smartphone&qid=1637600004&sr=8-59,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Vivo Store,https://www.amazon.in/stores/vivo+Mobile+India/page/227AD17E-3069-4977-B0F6-43DFC7B252CC?ref_=ast_bln,"9,490",https://www.amazon.in/Vivo-Y1s-3GB-RAM-32GB/dp/B08ZMTHXZ9/ref=sr_1_59?keywords=smartphone&qid=1637600004&sr=8-59,"Save ₹2,500 (21%)"
"realme C11 (2021) (Cool Blue, 4GB RAM+64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/realme-Storage-Additional-Exchange-Offers/dp/B09BBH1BDT/ref=sr_1_60?keywords=smartphone&qid=1637600004&sr=8-60,,,Brand: realme,https://www.amazon.in/realme/b/ref=bl_dp_s_web_17500809031?ie=UTF8&node=17500809031&field-lbr_brands_browse-bin=realme,,,
"Lava A1 Josh 21-Dual Sim |Call Blink Notfication |auto Call recoding |Military Grade Certified with 4 Day Battery Backup, Blue Silver",https://www.amazon.in/Lava-Notfication-recoding-Military-Certified/dp/B09BF8JBWX/ref=sr_1_61?keywords=smartphone&qid=1637600004&sr=8-61,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Lava Store,https://www.amazon.in/stores/Lava/page/E35EAD78-2F48-433E-912B-99160DCC7F58?ref_=ast_bln,959,https://www.amazon.in/Lava-Notfication-recoding-Military-Certified/dp/B09BF8JBWX/ref=sr_1_61?keywords=smartphone&qid=1637600004&sr=8-61,Save ₹290 (23%)
"Tecno Spark Go 2021 (Galaxy Blue 2GB RAM, 32GB Storage)|5000mAh| 16.56 cm (6.52"") Display Smartphone",https://www.amazon.in/Tecno-Spark-Go-2021-32GB/dp/B097T4FFP2/ref=sr_1_62?keywords=smartphone&qid=1637600004&sr=8-62,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Tecno Store,https://www.amazon.in/stores/TECNOMobileIndia/page/8EA883B3-BC24-4BDB-8FC5-3E18AE3123AA?ref_=ast_bln,"7,299",https://www.amazon.in/Tecno-Spark-Go-2021-32GB/dp/B097T4FFP2/ref=sr_1_62?keywords=smartphone&qid=1637600004&sr=8-62,"Save ₹1,700 (19%)"
"Redmi Note 10 Pro (Dark Night, 8GB RAM, 128GB Storage) -120hz Super Amoled Display | 64MP with 5MP Super Tele-Macro",https://www.amazon.in/Test-Exclusive_2020_1154-Multi-3GB-Storage/dp/B089MTR9K7/ref=sr_1_63?keywords=smartphone&qid=1637600004&sr=8-63,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Redmi Store,https://www.amazon.in/stores/Xiaomi/page/7E426C3E-B7D6-4EFA-B615-36E9FF5C0F1C?ref_=ast_bln,"18,999",https://www.amazon.in/Test-Exclusive_2020_1154-Multi-3GB-Storage/dp/B089MTR9K7/ref=sr_1_63?keywords=smartphone&qid=1637600004&sr=8-63,"Save ₹3,000 (14%)"
Xifo Aimi Note 8 (4GB / 64 GB) with 6.26 Inch Touchscreen and 5000 mAh Smartphone (Fantasy Violet),https://www.amazon.in/Xifo-Touchscreen-Smartphone-Fantasy-Violet/dp/B09M6B8DTG/ref=sr_1_64?keywords=smartphone&qid=1637600004&sr=8-64,Surya products,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A3MQIWDELSY5P3&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: Xifo,https://www.amazon.in/Xifo/b/ref=bl_dp_s_web_20397390031?ie=UTF8&node=20397390031&field-lbr_brands_browse-bin=Xifo,"6,999",https://www.amazon.in/Xifo-Touchscreen-Smartphone-Fantasy-Violet/dp/B09M6B8DTG/ref=sr_1_64?keywords=smartphone&qid=1637600004&sr=8-64,"Save ₹8,000 (53%)"
"I KALL Z1 Smartphone (4GB, 32GB) (Dark Blue)",https://www.amazon.in/KALL-Smartphone-32GB-Dark-Blue/dp/B09LH5NQK8/ref=sr_1_65?keywords=smartphone&qid=1637600207&sr=8-65,Fabimpex,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A3AYYKSFE86IJQ&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the IKALL Store,https://www.amazon.in/stores/IKall/page/9642B09A-B892-4DF6-85FD-C50FCFD7AFFF?ref_=ast_bln,"5,399",https://www.amazon.in/KALL-Smartphone-32GB-Dark-Blue/dp/B09LH5NQK8/ref=sr_1_65?keywords=smartphone&qid=1637600207&sr=8-65,"Save ₹1,100 (17%)"
"Redmi Note 10 Lite (Aurora Blue, 4GB RAM, 64GB Storage) | Alexa Built-in",https://www.amazon.in/Redmi-Note-10-Lite-Storage/dp/B09H5PQ738/ref=sr_1_66?keywords=smartphone&qid=1637600207&sr=8-66,Darshita Mobiles,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A1K6XQ7KUWCZYH&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: Redmi,https://www.amazon.in/Redmi/b/ref=bl_dp_s_web_20930485031?ie=UTF8&node=20930485031&field-lbr_brands_browse-bin=Redmi,"12,999",https://www.amazon.in/Redmi-Note-10-Lite-Storage/dp/B09H5PQ738/ref=sr_1_66?keywords=smartphone&qid=1637600207&sr=8-66,"Save ₹4,000 (24%)"
"I KALL Z1 Smartphone (4GB, 32GB, 4G Volte, Dual Sim) (Sky Blue)",https://www.amazon.in/KALL-Smartphone-Volte-Sky-Blue/dp/B09GXRD39R/ref=sr_1_67?keywords=smartphone&qid=1637600207&sr=8-67,Fabimpex,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A3AYYKSFE86IJQ&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the IKALL Store,https://www.amazon.in/stores/IKall/page/9642B09A-B892-4DF6-85FD-C50FCFD7AFFF?ref_=ast_bln,"5,399",https://www.amazon.in/KALL-Smartphone-Volte-Sky-Blue/dp/B09GXRD39R/ref=sr_1_67?keywords=smartphone&qid=1637600207&sr=8-67,"Save ₹1,100 (17%)"
"Vivo V21e 5G (Dark Pearl, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Vivo-V21e-8GB-RAM-128GB/dp/B08ZMTJMLN/ref=sr_1_68?keywords=smartphone&qid=1637600207&sr=8-68,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Vivo Store,https://www.amazon.in/stores/vivo+Mobile+India/page/227AD17E-3069-4977-B0F6-43DFC7B252CC?ref_=ast_bln,"24,990",https://www.amazon.in/Vivo-V21e-8GB-RAM-128GB/dp/B08ZMTJMLN/ref=sr_1_68?keywords=smartphone&qid=1637600207&sr=8-68,"Save ₹3,000 (11%)"
Redmi 10 Prime (Astral White 4GB RAM 64GB ROM |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display),https://www.amazon.in/Redmi-10-Prime-extendable-Adaptive/dp/B09CTY7TGF/ref=sr_1_69?keywords=smartphone&qid=1637600207&sr=8-69,Darshita Electronics,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A23AODI1X2CEAE&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Redmi Store,https://www.amazon.in/stores/Xiaomi/page/7E426C3E-B7D6-4EFA-B615-36E9FF5C0F1C?ref_=ast_bln,"12,499",https://www.amazon.in/Redmi-10-Prime-extendable-Adaptive/dp/B09CTY7TGF/ref=sr_1_69?keywords=smartphone&qid=1637600207&sr=8-69,"Save ₹2,500 (17%)"
"Redmi Note 10 Pro (Glacial Blue, 8GB RAM, 128GB Storage) -120hz Super Amoled Display|64MP with 5mp Super Tele- Marcro",https://www.amazon.in/Test-Exclusive_2020_1155-Multi-3GB-Storage/dp/B089MSPF7Q/ref=sr_1_70?keywords=smartphone&qid=1637600207&sr=8-70,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Redmi Store,https://www.amazon.in/stores/Xiaomi/page/7E426C3E-B7D6-4EFA-B615-36E9FF5C0F1C?ref_=ast_bln,"18,999",https://www.amazon.in/Test-Exclusive_2020_1155-Multi-3GB-Storage/dp/B089MSPF7Q/ref=sr_1_70?keywords=smartphone&qid=1637600207&sr=8-70,"Save ₹3,000 (14%)"
"Lava Z3 Striped Blue (3GB RAM, 32GB Storage)",https://www.amazon.in/Lava-Striped-Blue-32GB-Storage/dp/B09JGCFLGY/ref=sr_1_71?keywords=smartphone&qid=1637600207&sr=8-71,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Lava Store,https://www.amazon.in/stores/Lava/page/E35EAD78-2F48-433E-912B-99160DCC7F58?ref_=ast_bln,"7,299",https://www.amazon.in/Lava-Striped-Blue-32GB-Storage/dp/B09JGCFLGY/ref=sr_1_71?keywords=smartphone&qid=1637600207&sr=8-71,"Save ₹1,200 (14%)"
"Tecno Spark 7 (Magnet Black, 2GB RAM, 32 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display",https://www.amazon.in/Tecno-Spark-Magnet-Black-Storage/dp/B091FL32FW/ref=sr_1_72?keywords=smartphone&qid=1637600207&sr=8-72,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Tecno Store,https://www.amazon.in/stores/TECNOMobileIndia/page/8EA883B3-BC24-4BDB-8FC5-3E18AE3123AA?ref_=ast_bln,"7,699",https://www.amazon.in/Tecno-Spark-Magnet-Black-Storage/dp/B091FL32FW/ref=sr_1_72?keywords=smartphone&qid=1637600207&sr=8-72,"Save ₹1,300 (14%)"
"Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://www.amazon.in/Samsung-Galaxy-Storage-Months-Replacement/dp/B096VD6RQG/ref=sr_1_73?keywords=smartphone&qid=1637600207&sr=8-73,STPL Exclusive Online,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A1EWEIV3F4B24B&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Samsung Store,https://www.amazon.in/stores/SamsungBrandStore/page/7613B800-61FF-4320-8DEF-4A3711D5E41C?ref_=ast_bln,"16,999",https://www.amazon.in/Samsung-Galaxy-Storage-Months-Replacement/dp/B096VD6RQG/ref=sr_1_73?keywords=smartphone&qid=1637600207&sr=8-73,"Save ₹2,000 (11%)"
"Tecno POVA 2 (Polar Silver, 4GB RAM, 64GB Storage)| 7000mAh Battery | 48MP Camera | Helio G85",https://www.amazon.in/Tecno-POVA-Storage-7000mAh-Battery/dp/B09B42DJGW/ref=sr_1_74?keywords=smartphone&qid=1637600207&sr=8-74,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Tecno Store,https://www.amazon.in/stores/TECNOMobileIndia/page/8EA883B3-BC24-4BDB-8FC5-3E18AE3123AA?ref_=ast_bln,"11,999",https://www.amazon.in/Tecno-POVA-Storage-7000mAh-Battery/dp/B09B42DJGW/ref=sr_1_74?keywords=smartphone&qid=1637600207&sr=8-74,"Save ₹1,500 (11%)"
"iQOO Z3 5G (Cyber Blue, 8GB RAM, 256GB Storage) | India's First SD 768G 5G Processor | 55W FlashCharge | Upto 9 Months No Cost EMI | 6 Months Free Screen Replacement",https://www.amazon.in/iQOO-Storage-Processor-FlashCharge-Replacement/dp/B07WGP1S6V/ref=sr_1_75?keywords=smartphone&qid=1637600207&sr=8-75,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the iQOO Store,https://www.amazon.in/stores/iQOO/page/291C27A4-502A-463E-A273-D2C362AF312A?ref_=ast_bln,"22,990",https://www.amazon.in/iQOO-Storage-Processor-FlashCharge-Replacement/dp/B07WGP1S6V/ref=sr_1_75?keywords=smartphone&qid=1637600207&sr=8-75,"Save ₹4,000 (15%)"
"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor | Alexa Hands-Free Capable",https://www.amazon.in/Test-Exclusive_2020_1138-Multi-3GB-Storage/dp/B089MTR9JW/ref=sr_1_76?keywords=smartphone&qid=1637600207&sr=8-76,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Redmi Store,https://www.amazon.in/stores/Xiaomi/page/7E426C3E-B7D6-4EFA-B615-36E9FF5C0F1C?ref_=ast_bln,,,
"Tecno Spark Go 2021 (Horizon Orange, 2GB RAM, 32GB Storage) | 5000mAh| 6.52"" Display Smartphone",https://www.amazon.in/Tecno-Spark-Go-2021-32GB/dp/B097T63ZZJ/ref=sr_1_77?keywords=smartphone&qid=1637600207&sr=8-77,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Tecno Store,https://www.amazon.in/stores/TECNOMobileIndia/page/8EA883B3-BC24-4BDB-8FC5-3E18AE3123AA?ref_=ast_bln,"7,299",https://www.amazon.in/Tecno-Spark-Go-2021-32GB/dp/B097T63ZZJ/ref=sr_1_77?keywords=smartphone&qid=1637600207&sr=8-77,"Save ₹1,700 (19%)"
"Realme C25Y (Glacier Blue, 4GB RAM, 64GB Storage)",https://www.amazon.in/Realme-C25Y-Glacier-Blue-Storage/dp/B09LQKHJ7Z/ref=sr_1_78?keywords=smartphone&qid=1637600207&sr=8-78,SARFBazaar,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A31NDQ9OS5AWQ&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: realme,https://www.amazon.in/realme/b/ref=bl_dp_s_web_17500809031?ie=UTF8&node=17500809031&field-lbr_brands_browse-bin=realme,"10,950",https://www.amazon.in/Realme-C25Y-Glacier-Blue-Storage/dp/B09LQKHJ7Z/ref=sr_1_78?keywords=smartphone&qid=1637600207&sr=8-78,"Save ₹2,049 (16%)"
"realme narzo 50A (Oxygen Green, 4GB RAM + 64GB Storage) - with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/realme-narzo-Oxygen-Green-Storage/dp/B09FKCGP9T/ref=sr_1_79?keywords=smartphone&qid=1637600207&sr=8-79,,,,,"11,499",https://www.amazon.in/realme-narzo-Oxygen-Green-Storage/dp/B09FKCGP9T/ref=sr_1_79?keywords=smartphone&qid=1637600207&sr=8-79,"Save ₹1,500 (12%)"
